Bateria walk-forward · 1d · 2900 dias · janela 250
Custos: taxa 0.045% + slippage 0.03% · Stop mínimo: padrão
Símbolos: BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, AVAXUSDT, LINKUSDT · Estratégias: trend_breakout, trend_pullback
Gerado em: 2026-07-23T17:36:31.417Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
SOLUSDT | trend_pullback | nenhuma | 14 | 57.1 | +9.68 | +0.69 | +1.95 | 2.61 | +1.70 | 3/7 | -1.00 | indistinguivel de sorte
ETHUSDT | trend_pullback | trailing | 23 | 56.5 | +14.78 | +0.64 | +1.90 | 2.64 | +2.15 | 6/10 | -1.05 | amostra baixa
SOLUSDT | trend_pullback | trailing | 14 | 57.1 | +8.07 | +0.58 | +1.14 | 2.34 | +1.46 | 3/7 | -1.00 | indistinguivel de sorte
SOLUSDT | trend_breakout | parcial | 28 | 78.6 | +15.95 | +0.57 | +0.48 | 3.66 | +3.14 | 5/7 | -1.00 | amostra baixa
BNBUSDT | trend_pullback | nenhuma | 28 | 53.6 | +16.09 | +0.57 | +1.88 | 2.24 | +2.04 | 6/10 | -2.00 | amostra baixa
SOLUSDT | trend_breakout | breakeven | 28 | 39.3 | +15.42 | +0.55 | -0.01 | 3.52 | +2.40 | 3/7 | -1.00 | amostra baixa
ETHUSDT | trend_pullback | nenhuma | 23 | 52.2 | +12.35 | +0.54 | +1.90 | 2.12 | +1.71 | 5/10 | -1.05 | indistinguivel de sorte
SOLUSDT | trend_pullback | breakeven | 15 | 46.7 | +7.70 | +0.51 | -0.01 | 2.28 | +1.38 | 3/7 | -1.00 | indistinguivel de sorte
BNBUSDT | trend_pullback | breakeven | 34 | 44.1 | +16.97 | +0.50 | -0.01 | 2.40 | +2.16 | 6/10 | -2.00 | amostra baixa
BNBUSDT | trend_pullback | trailing | 33 | 48.5 | +16.28 | +0.49 | -0.01 | 2.24 | +2.06 | 6/10 | -2.00 | amostra baixa
ETHUSDT | trend_breakout | trailing | 44 | 52.3 | +21.26 | +0.48 | +0.04 | 2.16 | +2.31 | 7/10 | -1.10 | amostra baixa
SOLUSDT | trend_breakout | nenhuma | 28 | 50.0 | +13.43 | +0.48 | +0.47 | 1.96 | +1.68 | 2/7 | -2.04 | indistinguivel de sorte
AVAXUSDT | trend_pullback | nenhuma | 12 | 50.0 | +5.79 | +0.48 | +0.47 | 1.96 | +1.08 | 3/7 | -2.00 | indistinguivel de sorte
ADAUSDT | trend_breakout | breakeven | 34 | 41.2 | +15.33 | +0.45 | -0.01 | 2.27 | +1.97 | 6/10 | -1.01 | indistinguivel de sorte
ETHUSDT | trend_breakout | breakeven | 45 | 42.2 | +19.73 | +0.44 | -0.01 | 2.15 | +2.18 | 7/10 | -1.10 | amostra baixa
BNBUSDT | trend_pullback | parcial | 34 | 64.7 | +14.60 | +0.43 | +0.48 | 2.22 | +2.17 | 5/10 | -2.00 | amostra baixa
SOLUSDT | trend_breakout | trailing | 28 | 50.0 | +11.71 | +0.42 | -0.11 | 2.26 | +1.78 | 4/7 | -1.00 | indistinguivel de sorte
AVAXUSDT | trend_pullback | trailing | 12 | 66.7 | +5.01 | +0.42 | +0.29 | 2.25 | +1.14 | 3/7 | -2.00 | indistinguivel de sorte
AVAXUSDT | trend_pullback | parcial | 13 | 69.2 | +5.30 | +0.41 | +0.49 | 2.33 | +1.31 | 3/7 | -2.00 | indistinguivel de sorte
ETHUSDT | trend_breakout | nenhuma | 44 | 47.7 | +17.76 | +0.40 | -1.00 | 1.77 | +1.80 | 6/10 | -1.10 | indistinguivel de sorte
