Bateria walk-forward · 1d · 2900 dias · janela 250
Custos: taxa 0.1% + slippage 0.05% · Stop mínimo: padrão · Fim: 2026-07-23
Símbolos: LTCUSDT, BCHUSDT, EOSUSDT, XLMUSDT, TRXUSDT, ETCUSDT, NEOUSDT, IOTAUSDT · Estratégias: trend_pullback, trend_breakout
Gerado em: 2026-07-23T17:57:37.090Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
NEOUSDT | trend_pullback | nenhuma | 18 | 55.6 | +11.14 | +0.62 | +1.87 | 2.39 | +1.76 | 5/10 | -1.00 | indistinguivel de sorte
TRXUSDT | trend_pullback | nenhuma | 34 | 52.9 | +17.18 | +0.51 | +1.69 | 2.07 | +2.04 | 6/10 | -2.00 | amostra baixa
NEOUSDT | trend_pullback | breakeven | 18 | 44.4 | +9.25 | +0.51 | -0.02 | 2.52 | +1.62 | 5/10 | -1.00 | indistinguivel de sorte
NEOUSDT | trend_pullback | trailing | 19 | 57.9 | +9.52 | +0.50 | +0.26 | 2.47 | +1.66 | 5/10 | -1.00 | indistinguivel de sorte
NEOUSDT | trend_pullback | parcial | 18 | 66.7 | +7.83 | +0.43 | +0.47 | 2.30 | +1.64 | 5/10 | -1.00 | indistinguivel de sorte
EOSUSDT | trend_pullback | breakeven | 10 | 40.0 | +3.55 | +0.36 | -0.03 | 1.88 | +0.81 | 2/9 | -1.00 | indistinguivel de sorte
TRXUSDT | trend_pullback | breakeven | 37 | 40.5 | +12.22 | +0.33 | -0.06 | 1.79 | +1.53 | 6/10 | -2.00 | indistinguivel de sorte
XLMUSDT | trend_breakout | parcial | 23 | 65.2 | +7.47 | +0.32 | +0.46 | 1.93 | +1.39 | 5/10 | -2.53 | indistinguivel de sorte
TRXUSDT | trend_pullback | trailing | 36 | 50.0 | +11.34 | +0.32 | -0.25 | 1.67 | +1.40 | 6/10 | -2.00 | indistinguivel de sorte
TRXUSDT | trend_pullback | parcial | 37 | 59.5 | +10.07 | +0.27 | +0.42 | 1.67 | +1.45 | 6/10 | -2.00 | indistinguivel de sorte
EOSUSDT | trend_pullback | parcial | 10 | 60.0 | +2.61 | +0.26 | +0.46 | 1.65 | +0.72 | 4/9 | -1.00 | indistinguivel de sorte
XLMUSDT | trend_breakout | breakeven | 23 | 30.4 | +5.01 | +0.22 | -0.03 | 1.61 | +0.87 | 4/10 | -3.02 | indistinguivel de sorte
BCHUSDT | trend_pullback | parcial | 26 | 61.5 | +4.23 | +0.16 | +0.45 | 1.42 | +0.82 | 5/9 | -1.09 | indistinguivel de sorte
EOSUSDT | trend_pullback | nenhuma | 10 | 40.0 | +1.61 | +0.16 | -1.00 | 1.27 | +0.34 | 2/9 | -1.00 | indistinguivel de sorte
XLMUSDT | trend_breakout | nenhuma | 20 | 40.0 | +3.17 | +0.16 | -1.00 | 1.26 | +0.49 | 4/10 | -3.00 | indistinguivel de sorte
