Bateria walk-forward · 1h · 360 dias · janela 2000
Custos: taxa 0.045% + slippage 0.03% · Stop mínimo: padrão
Símbolos: BNBUSDT, BTCUSDT, ETHUSDT, XRPUSDT, DOGEUSDT · Estratégias: trend_breakout, trend_pullback
Gerado em: 2026-07-23T17:05:32.713Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
DOGEUSDT | trend_pullback | nenhuma | 33 | 42.4 | +4.64 | +0.14 | -1.00 | 1.24 | +0.60 | 3/4 | -6.00 | indistinguivel de sorte
BNBUSDT | trend_breakout | nenhuma | 112 | 43.8 | +14.08 | +0.13 | -1.00 | 1.22 | +1.04 | 3/4 | -1.05 | indistinguivel de sorte
BNBUSDT | trend_breakout | parcial | 118 | 59.3 | +15.12 | +0.13 | +0.31 | 1.32 | +1.37 | 4/4 | +0.63 | indistinguivel de sorte
BNBUSDT | trend_breakout | breakeven | 118 | 34.7 | +12.92 | +0.11 | -0.13 | 1.25 | +1.05 | 3/4 | -0.40 | indistinguivel de sorte
BNBUSDT | trend_breakout | trailing | 118 | 41.5 | +8.72 | +0.07 | -0.43 | 1.15 | +0.70 | 2/4 | -1.01 | indistinguivel de sorte
ETHUSDT | trend_pullback | trailing | 53 | 43.4 | +3.71 | +0.07 | -0.46 | 1.14 | +0.43 | 3/4 | -0.15 | indistinguivel de sorte
BTCUSDT | trend_pullback | nenhuma | 53 | 43.4 | +3.33 | +0.06 | -1.00 | 1.11 | +0.37 | 3/4 | -2.78 | indistinguivel de sorte
BTCUSDT | trend_pullback | breakeven | 58 | 36.2 | +3.31 | +0.06 | -0.15 | 1.12 | +0.39 | 2/4 | -2.58 | indistinguivel de sorte
BTCUSDT | trend_pullback | trailing | 59 | 45.8 | +3.51 | +0.06 | -0.33 | 1.13 | +0.41 | 2/4 | -2.82 | indistinguivel de sorte
XRPUSDT | trend_breakout | nenhuma | 98 | 38.8 | +4.36 | +0.04 | -1.00 | 1.07 | +0.33 | 3/4 | -4.42 | indistinguivel de sorte
ETHUSDT | trend_pullback | nenhuma | 50 | 40.0 | +1.73 | +0.03 | -1.00 | 1.06 | +0.19 | 3/4 | -2.00 | indistinguivel de sorte
ETHUSDT | trend_pullback | parcial | 56 | 55.4 | +1.47 | +0.03 | +0.28 | 1.06 | +0.19 | 3/4 | -3.44 | indistinguivel de sorte
BTCUSDT | trend_pullback | parcial | 58 | 55.2 | +1.36 | +0.02 | +0.28 | 1.05 | +0.18 | 2/4 | -1.69 | indistinguivel de sorte
XRPUSDT | trend_breakout | trailing | 99 | 36.4 | -0.16 | -0.00 | -1.00 | 1.00 | -0.01 | 2/4 | -3.32 | indistinguivel de sorte
