Bateria walk-forward · 1h · 360 dias · janela 2000
Custos: taxa 0.1% + slippage 0.05% · Stop mínimo: padrão · Fim: 2026-08-08
Símbolos: BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT · Estratégias: failed_breakout_reversal
Gerado em: 2026-08-08T18:57:37.196Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
ETHUSDT | failed_breakout_reversal | nenhuma | 16 | 31.3 | -2.48 | -0.16 | -1.00 | 0.77 | -0.48 | 1/4 | -2.00 | indistinguivel de sorte
BTCUSDT | failed_breakout_reversal | nenhuma | 13 | 30.8 | -3.60 | -0.28 | -1.00 | 0.60 | -0.88 | 1/4 | -2.00 | indistinguivel de sorte
BTCUSDT | failed_breakout_reversal | breakeven | 13 | 30.8 | -3.60 | -0.28 | -1.00 | 0.60 | -0.88 | 1/4 | -2.00 | indistinguivel de sorte
BTCUSDT | failed_breakout_reversal | trailing | 13 | 30.8 | -3.60 | -0.28 | -1.00 | 0.60 | -0.88 | 1/4 | -2.00 | indistinguivel de sorte
SOLUSDT | failed_breakout_reversal | trailing | 9 | 22.2 | -2.88 | -0.32 | -1.00 | 0.54 | -0.84 | 1/4 | -1.95 | indistinguivel de sorte
BNBUSDT | failed_breakout_reversal | parcial | 12 | 41.7 | -3.94 | -0.33 | -1.00 | 0.44 | -1.30 | 1/4 | -2.00 | indistinguivel de sorte
ETHUSDT | failed_breakout_reversal | parcial | 16 | 37.5 | -5.42 | -0.34 | -1.00 | 0.40 | -1.62 | 1/4 | -2.60 | indistinguivel de sorte
ETHUSDT | failed_breakout_reversal | trailing | 16 | 18.8 | -5.40 | -0.34 | -1.00 | 0.47 | -1.30 | 1/4 | -3.02 | indistinguivel de sorte
SOLUSDT | failed_breakout_reversal | parcial | 9 | 44.4 | -3.02 | -0.34 | -1.00 | 0.40 | -1.20 | 0/4 | -0.79 | indistinguivel de sorte
BTCUSDT | failed_breakout_reversal | parcial | 13 | 30.8 | -4.80 | -0.37 | -1.00 | 0.47 | -1.34 | 0/4 | -2.00 | indistinguivel de sorte
BNBUSDT | failed_breakout_reversal | nenhuma | 12 | 25.0 | -4.54 | -0.38 | -1.00 | 0.50 | -1.16 | 1/4 | -3.00 | indistinguivel de sorte
BNBUSDT | failed_breakout_reversal | breakeven | 12 | 16.7 | -4.82 | -0.40 | -1.00 | 0.35 | -1.57 | 0/4 | -2.18 | indistinguivel de sorte
ETHUSDT | failed_breakout_reversal | breakeven | 16 | 12.5 | -6.51 | -0.41 | -1.00 | 0.34 | -1.79 | 1/4 | -3.07 | indistinguivel de sorte
SOLUSDT | failed_breakout_reversal | nenhuma | 9 | 22.2 | -3.69 | -0.41 | -1.00 | 0.47 | -1.05 | 1/4 | -2.00 | indistinguivel de sorte
SOLUSDT | failed_breakout_reversal | breakeven | 9 | 11.1 | -3.80 | -0.42 | -1.00 | 0.31 | -1.43 | 0/4 | -1.19 | indistinguivel de sorte
BNBUSDT | failed_breakout_reversal | trailing | 12 | 25.0 | -5.42 | -0.45 | -1.00 | 0.35 | -1.71 | 1/4 | -2.97 | indistinguivel de sorte
