Bateria walk-forward · 1h · 360 dias · janela 2000
Custos: taxa 0% + slippage 0% · Stop mínimo: padrão · Fim: 2026-08-08
Símbolos: BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT, XRPUSDT · Estratégias: confirmed_trend_continuation
Gerado em: 2026-08-08T18:14:25.276Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
ETHUSDT | confirmed_trend_continuation | parcial | 7 | 57.1 | +3.00 | +0.43 | +0.50 | 2.00 | +0.72 | 2/4 | -0.50 | indistinguivel de sorte
ETHUSDT | confirmed_trend_continuation | breakeven | 7 | 40.0 | +2.00 | +0.29 | 0.00 | 1.67 | +0.48 | 2/4 | -1.00 | indistinguivel de sorte
BTCUSDT | confirmed_trend_continuation | parcial | 19 | 68.4 | +5.00 | +0.26 | +0.50 | 1.83 | +1.10 | 3/4 | -1.50 | indistinguivel de sorte
BTCUSDT | confirmed_trend_continuation | breakeven | 19 | 33.3 | +1.50 | +0.08 | 0.00 | 1.25 | +0.29 | 2/4 | -3.00 | indistinguivel de sorte
BTCUSDT | confirmed_trend_continuation | trailing | 18 | 22.2 | +1.49 | +0.08 | -0.30 | 1.18 | +0.26 | 2/4 | -1.04 | indistinguivel de sorte
ETHUSDT | confirmed_trend_continuation | trailing | 8 | 37.5 | +0.58 | +0.07 | -0.88 | 1.12 | +0.13 | 2/4 | -1.67 | indistinguivel de sorte
ETHUSDT | confirmed_trend_continuation | nenhuma | 7 | 28.6 | +0.00 | +0.00 | -1.00 | 1.00 | +0.00 | 2/4 | -2.00 | indistinguivel de sorte
XRPUSDT | confirmed_trend_continuation | parcial | 26 | 42.3 | -3.75 | -0.14 | -1.00 | 0.75 | -0.65 | 2/4 | -8.00 | indistinguivel de sorte
SOLUSDT | confirmed_trend_continuation | parcial | 19 | 42.1 | -3.25 | -0.17 | -1.00 | 0.70 | -0.69 | 1/4 | -3.50 | indistinguivel de sorte
SOLUSDT | confirmed_trend_continuation | breakeven | 19 | 21.4 | -3.50 | -0.18 | -1.00 | 0.68 | -0.63 | 1/4 | -4.00 | indistinguivel de sorte
XRPUSDT | confirmed_trend_continuation | nenhuma | 26 | 23.1 | -5.00 | -0.19 | -1.00 | 0.75 | -0.65 | 1/4 | -4.00 | indistinguivel de sorte
XRPUSDT | confirmed_trend_continuation | breakeven | 26 | 21.1 | -5.00 | -0.19 | -1.00 | 0.67 | -0.78 | 2/4 | -9.00 | indistinguivel de sorte
BTCUSDT | confirmed_trend_continuation | nenhuma | 18 | 22.2 | -4.00 | -0.22 | -1.00 | 0.71 | -0.63 | 2/4 | -5.00 | indistinguivel de sorte
XRPUSDT | confirmed_trend_continuation | trailing | 26 | 23.1 | -7.14 | -0.27 | -1.00 | 0.58 | -1.19 | 1/4 | -9.28 | indistinguivel de sorte
SOLUSDT | confirmed_trend_continuation | trailing | 18 | 27.8 | -5.23 | -0.29 | -1.00 | 0.60 | -0.92 | 1/4 | -3.93 | indistinguivel de sorte
BNBUSDT | confirmed_trend_continuation | parcial | 19 | 36.8 | -7.25 | -0.38 | -1.00 | 0.40 | -1.90 | 0/4 | -3.00 | indistinguivel de sorte
SOLUSDT | confirmed_trend_continuation | nenhuma | 18 | 16.7 | -7.50 | -0.42 | -1.00 | 0.50 | -1.32 | 1/4 | -5.00 | indistinguivel de sorte
BNBUSDT | confirmed_trend_continuation | nenhuma | 19 | 15.8 | -8.50 | -0.45 | -1.00 | 0.47 | -1.49 | 0/4 | -4.50 | indistinguivel de sorte
BNBUSDT | confirmed_trend_continuation | trailing | 19 | 15.8 | -8.66 | -0.46 | -1.00 | 0.38 | -1.81 | 0/4 | -3.00 | indistinguivel de sorte
BNBUSDT | confirmed_trend_continuation | breakeven | 19 | 7.7 | -9.50 | -0.50 | -1.00 | 0.21 | -2.52 | 0/4 | -4.00 | amostra baixa
