Bateria walk-forward · 4h · 1100 dias · janela 750
Custos: taxa 0.1% + slippage 0.05% · Stop mínimo: padrão
Símbolos: BTCUSDT, ETHUSDT, SOLUSDT, BNBUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, AVAXUSDT, LINKUSDT · Estratégias: trend_pullback, trend_breakout
Gerado em: 2026-07-23T17:45:40.162Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | t | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---|---
DOGEUSDT | trend_breakout | nenhuma | 81 | 45.7 | +22.00 | +0.27 | -1.00 | 1.50 | +1.75 | 6/8 | -5.32 | indistinguivel de sorte
DOGEUSDT | trend_pullback | nenhuma | 54 | 44.4 | +12.60 | +0.23 | -1.00 | 1.42 | +1.23 | 5/8 | -6.00 | indistinguivel de sorte
XRPUSDT | trend_breakout | breakeven | 68 | 38.2 | +14.72 | +0.22 | -0.09 | 1.47 | +1.41 | 5/8 | -2.66 | indistinguivel de sorte
ETHUSDT | trend_breakout | nenhuma | 89 | 43.8 | +16.51 | +0.19 | -1.00 | 1.33 | +1.30 | 6/8 | -0.65 | indistinguivel de sorte
XRPUSDT | trend_breakout | trailing | 69 | 44.9 | +13.15 | +0.19 | -0.54 | 1.38 | +1.24 | 4/8 | -3.06 | indistinguivel de sorte
XRPUSDT | trend_breakout | nenhuma | 68 | 42.6 | +11.70 | +0.17 | -1.00 | 1.30 | +1.04 | 3/8 | -2.00 | indistinguivel de sorte
DOGEUSDT | trend_breakout | breakeven | 82 | 34.1 | +14.32 | +0.17 | -0.07 | 1.40 | +1.29 | 4/8 | -3.57 | indistinguivel de sorte
DOGEUSDT | trend_breakout | trailing | 82 | 40.2 | +13.66 | +0.17 | -0.30 | 1.35 | +1.20 | 5/8 | -4.03 | indistinguivel de sorte
DOGEUSDT | trend_pullback | trailing | 58 | 44.8 | +9.09 | +0.16 | -0.74 | 1.31 | +0.93 | 5/8 | -6.00 | indistinguivel de sorte
DOGEUSDT | trend_breakout | parcial | 82 | 58.5 | +13.51 | +0.16 | +0.40 | 1.40 | +1.40 | 3/8 | -2.58 | indistinguivel de sorte
XRPUSDT | trend_breakout | parcial | 68 | 55.9 | +10.32 | +0.15 | +0.36 | 1.34 | +1.14 | 5/8 | -2.64 | indistinguivel de sorte
DOGEUSDT | trend_pullback | breakeven | 59 | 32.2 | +7.65 | +0.13 | -0.07 | 1.29 | +0.83 | 4/8 | -5.04 | indistinguivel de sorte
AVAXUSDT | trend_pullback | nenhuma | 37 | 40.5 | +4.93 | +0.13 | -1.00 | 1.22 | +0.58 | 4/8 | -3.20 | indistinguivel de sorte
DOGEUSDT | trend_pullback | parcial | 59 | 57.6 | +7.05 | +0.12 | +0.39 | 1.28 | +0.88 | 6/8 | -4.57 | indistinguivel de sorte
SOLUSDT | trend_pullback | nenhuma | 57 | 40.4 | +6.45 | +0.11 | -1.00 | 1.19 | +0.63 | 4/8 | -2.00 | indistinguivel de sorte
SOLUSDT | trend_breakout | breakeven | 104 | 31.7 | +9.95 | +0.10 | -0.07 | 1.20 | +0.81 | 5/8 | -7.65 | indistinguivel de sorte
BTCUSDT | trend_breakout | breakeven | 102 | 34.3 | +9.44 | +0.09 | -0.12 | 1.20 | +0.80 | 3/8 | -3.66 | indistinguivel de sorte
SOLUSDT | trend_pullback | trailing | 64 | 39.1 | +5.70 | +0.09 | -0.70 | 1.17 | +0.57 | 2/8 | -1.89 | indistinguivel de sorte
SOLUSDT | trend_breakout | parcial | 104 | 54.8 | +9.44 | +0.09 | +0.39 | 1.20 | +0.87 | 6/8 | -6.68 | indistinguivel de sorte
BTCUSDT | trend_breakout | nenhuma | 100 | 41.0 | +7.86 | +0.08 | -1.00 | 1.13 | +0.60 | 3/8 | -2.97 | indistinguivel de sorte
BTCUSDT | trend_breakout | parcial | 102 | 55.9 | +8.05 | +0.08 | +0.31 | 1.18 | +0.77 | 3/8 | -2.34 | indistinguivel de sorte
SOLUSDT | trend_pullback | breakeven | 65 | 32.3 | +5.06 | +0.08 | -0.12 | 1.16 | +0.51 | 3/8 | -2.48 | indistinguivel de sorte
SOLUSDT | trend_breakout | nenhuma | 100 | 39.0 | +8.27 | +0.08 | -1.00 | 1.14 | +0.61 | 5/8 | -9.44 | indistinguivel de sorte
