Bateria walk-forward · 1h · 360 dias · janela 2000
Símbolos: XRPUSDT, ADAUSDT, DOGEUSDT, AVAXUSDT, LINKUSDT · Estratégias: trend_pullback, trend_breakout
Gerado em: 2026-07-23T15:05:43.954Z

simbolo | estrategia | gestao | trades | acerto% | somaR | mediaR | medianaR | PF | janelasPos | piorJanela | obs
---|---|---|---|---|---|---|---|---|---|---|---
DOGEUSDT | trend_pullback | nenhuma | 34 | 41.2 | +0.20 | +0.01 | -1.00 | 1.01 | 3/4 | -6.00 | amostra baixa
XRPUSDT | trend_breakout | nenhuma | 98 | 38.8 | -4.92 | -0.05 | -1.00 | 0.92 | 2/4 | -6.31 | amostra baixa
XRPUSDT | trend_breakout | trailing | 98 | 35.7 | -7.66 | -0.08 | -1.00 | 0.87 | 2/4 | -5.23 | amostra baixa
XRPUSDT | trend_breakout | breakeven | 98 | 32.7 | -9.16 | -0.09 | -1.00 | 0.84 | 1/4 | -5.46 | amostra baixa
XRPUSDT | trend_breakout | parcial | 98 | 44.9 | -13.39 | -0.14 | -1.00 | 0.75 | 0/4 | -6.43 | amostra baixa
DOGEUSDT | trend_pullback | breakeven | 38 | 28.9 | -5.48 | -0.14 | -1.00 | 0.74 | 1/4 | -6.00 | amostra baixa
DOGEUSDT | trend_pullback | parcial | 38 | 47.4 | -5.43 | -0.14 | -1.00 | 0.73 | 2/4 | -6.00 | amostra baixa
DOGEUSDT | trend_breakout | breakeven | 96 | 29.2 | -13.06 | -0.14 | -1.00 | 0.77 | 0/4 | -4.99 | amostra baixa
LINKUSDT | trend_breakout | parcial | 78 | 50.0 | -10.84 | -0.14 | -0.44 | 0.72 | 0/4 | -5.75 | amostra baixa
DOGEUSDT | trend_pullback | trailing | 36 | 33.3 | -5.91 | -0.16 | -1.00 | 0.71 | 1/4 | -6.00 | amostra baixa
DOGEUSDT | trend_breakout | parcial | 96 | 42.7 | -15.48 | -0.16 | -1.00 | 0.72 | 0/4 | -5.55 | amostra baixa
DOGEUSDT | trend_breakout | trailing | 96 | 33.3 | -15.17 | -0.16 | -1.00 | 0.74 | 1/4 | -5.42 | amostra baixa
